time_of_arrival_s,amplitude_abs,amplitude_dB_abs,amplitude_dB_rel_to_max,angle_of_arrival_deg,angle_of_departure_deg,surface_bounces,bottom_bounces
3.33333206,0.00019846596507289025,-74.0462791934708,0.0,0.0,0.0,0,0
3.33399892,0.00019842594935528786,-74.0480306633064,-0.0017514698356109193,1.14576256,-1.14576256,1,0
3.33399916,0.00019745755478739016,-74.09052490735516,-0.044245713884365045,-1.14575398,1.14575398,0,1
3.33599877,0.00019639391530833347,-74.13743943372582,-0.09116024025502156,2.29060841,2.29060841,1,1
3.33599877,0.00019639391530833347,-74.13743943372582,-0.09116024025502156,-2.29060841,-2.29060841,1,1
3.33932734,0.0001952935707263535,-74.18624107833179,-0.1399618848609947,3.43362379,-3.43362379,2,1
3.33932734,0.0001925202480347887,-74.31047174936057,-0.2641925558897782,-3.43361807,3.43361807,1,2
3.34398198,0.0001905811895640904,-74.3983993322602,-0.3521201387894024,4.57390213,4.57390213,2,2
3.34398198,0.00019058118956409036,-74.3983993322602,-0.3521201387894024,-4.57390213,-4.57390213,2,2
3.34995699,0.00018446322467997804,-74.68180407091171,-0.6355248774409148,-5.71056366,5.71056366,2,3
3.34995699,0.00018870182460363298,-74.48447801032528,-0.4381988168544808,5.71057272,-5.71057272,3,2
3.3572464,0.00018201507731087322,-74.79785271044096,-0.7515735169701685,6.84274769,6.84274769,3,3
3.3572464,0.0001820150773108732,-74.79785271044096,-0.7515735169701685,-6.84274769,-6.84274769,3,3
3.36584044,0.00017443153870434834,-75.16749976342275,-1.1212205699519586,-7.96958017,7.96958017,3,4
3.36584044,0.00017971255298924668,-74.90843172398019,-0.8621525305093911,7.96958685,-7.96958685,4,3
3.37572908,0.00017180169718566683,-75.29945100395709,-1.2531718104862932,9.09024811,9.09024811,4,4
3.37572908,0.00017180169718566683,-75.29945100395709,-1.2531718104862932,-9.09024811,-9.09024811,4,4
3.38690114,7.151574737613834e-05,-82.91196636802006,-8.865687174549265,-10.1465902,10.1465902,4,5
3.38690162,0.0001693504269395994,-75.42427408286373,-1.3779948893929372,10.2039452,-10.2039452,5,4
3.38690186,9.190447009413585e-05,-80.73326729349559,-6.6869881000247915,-10.2485657,10.2485657,4,5
3.39934444,6.555840820431975e-05,-83.66743199784311,-9.621152804372315,11.3702993,11.3702993,5,5
3.39934444,6.555840820431975e-05,-83.66743199784311,-9.621152804372315,-11.3702993,-11.3702993,5,5
3.3993454,9.523596868720633e-05,-80.42397992892055,-6.37770073544975,11.2683239,11.2683239,5,5
3.3993454,9.523596868720633e-05,-80.42397992892055,-6.37770073544975,-11.2683239,-11.2683239,5,5
3.41304302,2.585535973594091e-05,-91.74898830674775,-17.702709113276953,-12.492033,12.492033,5,6
3.41304302,2.6926768278015865e-05,-91.39631534041874,-17.350036146947943,12.492033,-12.492033,6,5
3.4130466,0.00013139584637223968,-77.62836726571165,-3.5820880722408504,12.3900576,-12.3900576,6,5
3.4130466,0.00012619347302899458,-77.97926214126656,-3.9329829477957645,-12.3900576,12.3900576,5,6
3.42798543,2.3562411614539852e-05,-92.5556052307657,-18.50932603729491,13.4098148,13.4098148,6,6
3.42798543,2.3562411614539852e-05,-92.5556052307657,-18.50932603729491,-13.4098148,-13.4098148,6,6
3.42798924,0.00012589953656117923,-77.99951737072487,-3.9532381772540788,13.5117912,13.5117912,6,6
3.42798924,0.00012589953656117923,-77.99951737072487,-3.9532381772540788,-13.5117912,-13.5117912,6,6
3.44415593,6.144134035122891e-05,-84.23078637359563,-10.18450718012484,14.6335249,-14.6335249,7,6
3.44415593,5.8755990709762466e-05,-84.61895693021292,-10.572677736742122,-14.6335249,14.6335249,6,7
3.44415665,8.179860183406406e-05,-81.7450823913511,-7.698803197880309,-14.5315485,14.5315485,6,7
3.44415665,8.552092206452422e-05,-81.35855250645889,-7.312273312988097,14.5315485,-14.5315485,7,6
3.46153021,1.4947077451503706e-05,-96.50887430165736,-22.462595108186562,-15.5513067,-15.5513067,7,7
3.46153021,1.4947077451503706e-05,-96.50887430165736,-22.462595108186562,15.5513067,15.5513067,7,7
3.4615345,0.00012297683683481258,-78.20353363822838,-4.157254444757584,15.6532822,15.6532822,7,7
